,"City, State",Date,Enforcement Action,Entity Name,Entity Type,Found,Processed?,State Enforcing,Text,Text Length,New Length,Percentage
6918,Norwood MA,08/29/2003,TEMPORARY CEASE AND DESIST,MORTGAGE ONE FINANCIAL CORP,MORTGAGE BROKER,True,True,MA,", through the Commissioner, has jurisdiction over the licensing and regulation of persons engaged in the business of a mortgage broker pursuant to Massachusetts General Laws chapter 255E, section 2.  Mortgage One is, and at all relevant times has been, a corporation organized under the laws of the Commonwealth of Massachusetts. Mortgage One is located at 1408 Providence Highway, Norwood, Massachusetts, 02062, according to records submitted by Mortgage One and maintained on file with the Division.  Mortgage One is licensed by the Commissioner as a mortgage broker as required by General Laws chapter 255E, section 2. Mortgage One holds mortgage broker license number MB0624 which is set to expire on May 31, 2004.  On or about June 17, 2003, Mortgage One issued correspondence to two Massachusetts consumers, Andrew Klane and Suzanne Klane (collectively, the borrower), requesting that the borrower complete the enclosed mortgage loan application for a residential property located in Massachusetts and provide additional borrower information to be reviewed with the application. A copy of the correspondence received by the borrower from Mortgage One is attached as Exhibit A.  The June 17, 2003 correspondence stated, in part, that [Y]our current rate is 5.25, 30 fixed term, and is currently Locked. The letter further requested that the consumer sign and return all forms therein enclosed. The Division has obtained information that the borrower submitted the completed mortgage loan application and additional materials to Mortgage One as requested.  As of the effective date of this TEMPORARY ORDER, Mortgage One has not placed the borrower's application with a qualified lender under the loan terms and conditions contained in the correspondence referenced above in paragraph 4.  Massachusetts General Laws chapter 255E, section 1 defines a mortgage broker as, any person who for compensation or gain, or in the expectation of compensation or gain, directly or indirectly negotiates, places, assists in placement, finds or offers to negotiate, place, assist in placement or find mortgage loans on residential property for others.  Massachusetts General Laws chapter 255E, section 2 prohibits anyone from engaging in the activity of mortgage lender, unless otherwise exempted by the statute, without obtaining a license from the Commissioner.  The Division's regulation 209 CMR 42.11A defines the activity of entering or issuing a rate lock commitment as within the exclusive authority of the mortgage lender in a residential mortgage loan transaction.  ",9543,2565,0.26878340144608615
6919,"HQ Irvine CA, branch located in Concord CA",10/31/2003,TEMPORARY CEASE AND DESIST,PLATINUM CAPITAL GROUP,"MORTGAGE LENDER,MORTGAGE BROKER",True,True,MA,", through the Commissioner, has jurisdiction over the licensing and regulation of persons and entities engaged in the business of either a mortgage lender or a mortgage broker in Massachusetts, or both, pursuant to Massachusetts General Laws chapter 255E, section 2.  Platinum Capital is, and at all relevant times has been, a corporation organized under the laws of the State of California. Platinum Capital is located at located at 17101 Armstrong Avenue, Suite 200, Irvine, California and a branch location located at 200 Baker Avenue, Concord, Massachusetts, 01742 according to records submitted by Platinum Capital and maintained on file with the Division.  Platinum Capital is licensed by the Commissioner as a mortgage lender and mortgage broker as required by Massachusetts General Laws chapter 255E, section 2. The Commissioner issued Platinum Capital&apos;s initial licenses to engage in the business of a mortgage lender and mortgage broker in the Commonwealth of Massachusetts on March 10, 1998. On August 6, 2003, Platinum Capital was granted a branch license to conduct mortgage loan activity at 200 Baker Avenue, Concord, Massachusetts, 01742. Platinum Capital holds mortgage lender and mortgage broker license numbers MC0958 and MC3142, which are set to expire on May 31, 2004.  On September 26, 2003, duly authorized examiners from the Division, in the performance of their official duties, attempted to conduct an inspection of Platinum Capital&apos;s books, accounts, records, and files of the Corporation. The Corporation, its management and employees failed to provide immediate access to the Corporation&apos;s books and records to the examiners.  A. Failure to Acquire a Mortgage Lender or Mortgage Broker License Prior to Conducting Mortgage Loan Activity  On or about June 27, 2003, Platinum Capital submitted to the Division an application to obtain a branch license from the Commissioner to engage in the business of a mortgage lender and mortgage broker at 200 Baker Ave., Concord, Massachusetts.  Platinum Capital was approved by the Commissioner to conduct business at the 200 Baker Ave., Concord, Massachusetts location on or about August 6, 2003.  On September 26, 2003, after being granted access to the books and records, the Division&apos;s examiners conducted an inspection of the Concord, Massachusetts branch location. Books and records reviewed by field examiners indicate that Platinum Capital had accepted applications at the Concord, Massachusetts location in early June, 2003. Further, Platinum Capital&apos;s branch pipeline report submitted to the Division subsequent to the visitation indicated that loan applications were accepted by Platinum Capital as early as April 24, 2003. Platinum Capital&apos;s branch pipeline report indicated that 27 mortgage loan applications had been accepted by Platinum Capital prior to the approval of its branch license application.  B. Findings Indicating that the Corporation had Engaged in the Mortgage Loan Business in Violation of the Memorandum of Understanding with the Corporation  On June 27, 2001, duly authorized examiners from the Division, in the performance of their official duties, conducted an examination/inspection of Platinum Capital&apos;s books, accounts, records, and files of the Corporation.  During the course of the examination/inspection, the examiners observed numerous violations, including, but not limited to, the Corporation&apos;s acting as both a mortgage lender and a mortgage broker in the same transaction, a violation also cited in a prior examination/inspection conducted by the Division.  As a result of the findings of the examination/inspection as of June 27, 2001, Platinum Capital was assessed a less-than-satisfactory compliance rating and a Memorandum of Understanding was issued by the Division and signed by the Corporation on October 10, 2001 (the Memorandum of Understanding).  On or about September 26, 2003, after being granted access to the Corporation&apos;s books and records, the Commissioner conducted an inspection of the Concord, Massachusetts branch location. Books and records reviewed by field examiners indicated the recurrence of similar violations noted in the examination/inspection and which were required to be addressed and corrected pursuant to the terms of the Memorandum of Understanding. The loan files inspected by the examiners which contained documents disclosing Platinum Capital as the lender or creditor in the mortgage loan transaction when acting in the capacity of a mortgage broker, included, but were not limited to, the following:  Scroll left Scroll right  Loan Number  Situs of Property  Settlement Date  0000998928  Westford, MA  August 14, 2003  ",12423,4716,0.37961844964984304
6920,Concord MA,10/31/2003,TEMPORARY CEASE AND DESIST,"KN MANAGEMENT, INC.",MORTGAGE BROKER,True,True,MA,", through the Commissioner, has jurisdiction over the licensing and regulation of persons engaged in mortgage broker activities pursuant to General Laws chapter 255E.  On February 27, 2003, the Division received an application from Nathan Smith for a mortgage broker license pursuant to General Laws chapter 255E.  On March 5, 2003, Articles of Organization were filed with the Secretary of the Commonwealth for Approved Discount Mortgage, LLC, 200 Baker Avenue, Concord, Massachusetts with John Kress Williams and Nathan Smith as Managers.  On March 26, 2003, Articles of Organization were filed with the Secretary of the Commonwealth for KN Management, Inc., 6 Bartkus Farm Road, Concord, Massachusetts with John Kress Williams and Nathan Smith as officers.  On or about April 19, 2003, KN Management commenced accepting mortgage loan applications. Mortgage loan leads were taken from primarily the Internet through a site called TheLoanPage.com of Baltimore, Maryland. Leads and subsequent applications were from various states including Massachusetts. Loan applications identified the Loan Interviewer&apos;s employer as Approved Discount Mortgage, LLC, 200 Baker Avenue, Concord, Massachusetts.  The Branch pipeline report provided to the Division by Jack Daly of Platinum Capital Group (Platinum), Irvine, California indicates that applications were accepted for credit approval from KN Management as early as April 24, 2003.  On May 1, 2003, numerous loan applications were taken identifying the interviewer&apos;s employer as Approved Discount Mortgage LLC or Novastar Home Mortgage, Inc. (Novastar). Numerous disclosures identify Novastar of Norwalk, Connecticut as the lender.  On May 12, 2003, the Division received an application from Approved Discount Mortgage, LLC for a mortgage lender and mortgage broker license. The application included a reference letter dated March 19, 2003 signed by Serge Bevil, identified as an owner of Landmark Financial at the same address in Norwalk, Connecticut as Novastar. The Division had previously approved a mortgage broker license for Novastar, 607 Main Street, Norwalk, Connecticut naming Serve Bevil as the manager. The Division has no record that a Landmark Financial branch is located at this address at this time.  On or about June 1, 2003, applications continued to be processed with some disclosures identifying Novastar as the lender and some identifying Platinum Capital Group as the lender.  On June 3, 2003, a loan to Carol and Paul Brown was closed. Numerous fees were paid to KN Management as indicated on the settlement statement.  On June 6, 2003, Jack Daly said Platinum gave their approval to open a branch office in Concord, Massachusetts at 200 Baker Avenue, Concord, Massachusetts.  On June 11, 2003, the Division denied the application of Nathan Smith for a mortgage broker license for failing to pay the investigation fee and failing to respond to two requests for additional information.  On or about June 27, 2003, an application for a branch location for Platinum Mortgage Group at 200 Baker Avenue, Concord, Massachusetts was received by the Division.  KN Management continued processing loan applications though Novastar and Platinum in July 2003. The Branch pipeline report indicates that 23 loans were processed by Platinum prior to approval of a branch license.  On August 6, 2003, the Division approved the branch license for Platinum.  On August 12, 2003, the Division issued a cease and desist letter to Approved Discount Mortgage at 200 Baker Avenue, Concord, Massachusetts.  Massachusetts General Laws chapter 255E, section 2 states, in part, that:  No person shall act as a mortgage broker...with respect to residential property unless first obtaining a license from the commissioner...  ",9174,3776,0.41159799433180727
6921,Irvine CA,12/23/2003,TEMPORARY CEASE AND DESIST,INSTAFI.COM,"MORTGAGE LENDER,MORTGAGE BROKER",True,True,MA,", through the Commissioner, has jurisdiction over the licensing and regulation of persons and entities engaged in the business of a mortgage lender or a mortgage broker, or both, pursuant to Massachusetts General Laws chapter 255E, section 2.  Instafi.com is, and at all relevant times has been, organized under the laws of the State of California. Instafi.com is located at 2600 Michaelson Drive, Suite 300, Irvine, California, according to records submitted by Instafi.com and maintained on file with the Division.  Instafi.com is licensed by the Commissioner as a mortgage lender and as a mortgage broker as required by General Laws chapter 255E, section 2. Instafi.com holds mortgage lender and mortgage broker license numbers MC2158 and MC3119 which are set to expire on May 31, 2004.  On or about December 22, 2003, the Division received a copy of an Internet news article which reported that Instafi.com had gone out of business. Comments offered by a representative of Instafi.com&apos;s management, which were also included in the article, confirmed that Instafi.com was ceasing operations and that a reduced staff had been retained to dissolve the business.  The Internet news article further reported that several hundred pending applications, initially accepted by Instafi.com, had been transferred to another California-based mortgage lender company, similarly licensed in the Commonwealth of Massachusetts as a mortgage lender.  A representative of the Division, during the course of his official duties, was able to confirm with a representative of the mortgage lender licensee referenced above in Section 5, that approximately five of the mortgage loan applications which the licensee had received from Instafi.com related to residential property located in Massachusetts.  As of the effective date of this TEMPORARY ORDER, the Division had not received from Instafi.com any written or verbal notification that Instafi.com intended to close its business at either of the two licensed locations maintained by Instafi.com.  As of the effective date of this TEMPORARY ORDER, the Division had not received from Instafi.com any written or verbal notification of a change in the officers or directors of Instafi.com.  ",9179,2228,0.24272796600936922
6922,Kansas City MO,12/30/2003,CONSENT ORDER,"NOVASTAR HOME MORTGAGE, INC.","MORTGAGE LENDER,MORTGAGE BROKER",True,True,MA," dated December 30, 2003, whereby, solely for the purpose of settling this matter, and without admitting any allegations or implications of fact or the existence of any violation of state or federal laws and regulations governing the conduct and operation of a mortgage lender and/or a mortgage broker, NovaStar Home Mortgage agrees to the issuance of this CONSENT ORDER (ORDER) by the Commissioner of Banks (Commissioner);  WHEREAS, pursuant to General Laws chapter 255E, section (7)(b), the Commissioner issued a Findings of Fact and Temporary Order to Cease and Desist, Docket No. 2003-035 (the TEMPORARY ORDER), against NovaStar Home Mortgage on October 31, 2003, as a result of, among other alleged violations, NovaStar Home Mortgage&apos;s alleged violation of applicable Massachusetts statutes and the Division&apos;s regulations which prohibit a mortgage lender or mortgage broker from conducting business with a person or entity which should be licensed under Massachusetts General Laws chapter 255E and which the Corporation knew or should have known was an unlicensed mortgage broker;  WHEREAS, prior to the issuance of the TEMPORARY ORDER, an examination/inspection of NovaStar Home Mortgage was conducted pursuant to General Laws chapter 255E, section 8, as of September 20, 2002, to assess the Corporation&apos;s level of compliance with applicable Massachusetts statutes and the Division&apos;s regulations governing the conduct of those engaged in the business of a mortgage lender and a mortgage broker, respectively, in the Commonwealth;  WHEREAS, the Report of Examination/Inspection (the Report) issued pursuant to the Division&apos;s examination/inspection of NovaStar Home Mortgage as of September 20, 2002 alleged substantial non-compliance with applicable state and federal statutes, rules, and regulations governing the conduct of those engaged in the business of a mortgage lender and mortgage broker in Massachusetts;  WHEREAS, the Division drafted, and on May 21, 2003 NovaStar Home Mortgage received by certified mail, a copy of both (a) the Stipulation and Consent to the Issuance of a Consent Order and (b) the Consent Order, collectively No. 2003-009, which accompanied the Report and which sought to address the compliance matters identified during the Division&apos;s examination/inspection of NovaStar Home Mortgage as of September 20, 2002 and whereas, as of the effective date of this ORDER, the Division has not received from NovaStar Home Mortgage a signed copy of the Stipulation and Consent to the Issuance of a Consent Order referenced above;  WHEREAS, in recognition of the Division and NovaStar Home Mortgage having reached the following mutual agreement under this ORDER to resolve the matters raised by the TEMPORARY ORDER and the Report, the Commissioner has terminated the TEMPORARY ORDER on this day of December 2003; and  WHEREAS, the parties now seek to resolve by mutual agreement, the matters identified in the TEMPORARY ORDER.  ",14801,2982,0.20147287345449633
6923,Cambridge MA,01/29/2004,CEASE AND DESIST,"LOANS, INC. DBA U.S. NATIONAL MORTGAGE COMPANY",MORTGAGE BROKER,True,True,MA," dated January 29th, 2004, whereby, solely for the purpose of settling this matter, and without admitting any allegations or implications of fact or the existence of any violation of state or federal laws and regulations governing the conduct and operation of a mortgage broker, Loans, Inc. agrees to the issuance of this CONSENT ORDER (ORDER) by the Commissioner of Banks (Commissioner);  WHEREAS, as a result of the findings of the Division's examination/inspection of the Corporation as of May 25, 2001, the parties entered into a Memorandum of Understanding (MEMORANDUM) whereby Narain D. Bhatia in his capacity as President of Loans, Inc. and on behalf of the Corporation agreed to take all necessary steps to address and correct the compliance deficiencies incorporated in the MEMORANDUM.  WHEREAS, an examination/inspection of Loans, Inc. was conducted pursuant to General Laws chapter 255E, section 8, as of June 6, 2003, to assess Loans, Inc.'s level of compliance with applicable Massachusetts statutes and the Division's regulations governing the conduct of those engaged in the business of a mortgage broker in the Commonwealth; and  WHEREAS, the Report of Examination/Inspection (the Report) issued pursuant to the Division's examination/inspection of Loans, Inc. as of June 6, 2003 alleged (a) continued violations of matters previously identified and intended to be corrected by the terms of the MEMORANDUM and (b) substantial non-compliance with other applicable state and federal statutes, rules, and regulations governing the conduct of those engaged in the business of a mortgage broker in Massachusetts.  ",9228,1625,0.17609449501517122
6924,Worcester MA,05/26/2004,TEMPORARY CEASE AND DESIST,"COMMERCE BANK & TRUST COMPANY AND ITS WHOLLY-OWNED SUBSIDIARY 1-800-EAST-WEST MORTGAGE COMPANY, INC.","INSURED STATE NONMEMBER BANK,STATE CHARTERED TRUST COMPANY",True,True,MA," for the Federal Deposit Insurance Corporation (FDIC) and with the Commissioner of Banks of the Commonwealth of Massachusetts (the Commissioner) dated May 25, 2004, whereby solely for the purpose of this proceeding and without admitting or denying the alleged charges of unsafe or unsound banking practices and violations of laws and/or regulations, the Bank and East-West consented to the issuance of this ORDER TO CEASE AND DESIST (ORDER) by the Commissioner and the FDIC.  The Commissioner and the FDIC considered the matter and determined that they had reason to believe that the Bank and East-West have engaged in unsafe or unsound practices and have committed violations of laws and/or regulations. The Commissioner and the FDIC, therefore, accepted the CONSENT AGREEMENT and issued the following:  ORDER TO CEASE AND DESIST  Provisions Applicable to the Bank  IT IS HEREBY ORDERED that the Bank, its directors, officers, employees, agents, and other institution-affiliated parties (as that term is defined in Section 3(u) of the Act, 12 U.S.C. § 1813(u)), and its successors and assigns cease and desist from the following unsafe or unsound banking practices and violations:  (a) Operating with a Board of Directors which has failed to provide adequate supervision over, and direction to, the management of the Bank in order to ensure compliance with laws and regulations referred to in the FDIC's Report of Examination-Compliance prepared as of December 30, 2002 (the FDIC Report) and the Report of Examination (the Division's Report) issued by the Division under Massachusetts General Laws chapter 167, section 2 pursuant to the examination of the Bank and East-West by the Division as of March 10, 2003;  (b) Operating with certain officers and employees who do not have adequate knowledge and/or sufficient allocated time to ensure compliance with the laws and regulations referred to in the FDIC Report and the Division's Report;  (c) Operating with policies and internal routines and controls which are insufficient to ensure compliance with laws and regulations referred to in the FDIC Report and the Division's Report;  (d) Operating in violation of the following laws and/or regulations:  Part 202, Regulation B of the Board of Governors of the Federal Reserve System, as more fully described on pages 35, 36, 37 and 41 of the FDIC Report;  Part 339 of the FDIC's Rules and Regulations, 12 C.F.R. Part 339, as more fully described on pages 42-55 of the FDIC Report; and,  Part 203, Regulation C of the Board of Governors of the Federal Reserve System, as more fully described on pages 56, 57, 58, 60, 61 and 62 of the FDIC Report;  Part 3500, Regulation X of the Department of Housing and Urban Development, as more fully described on pages 65, 66, 68, 69, 72, 79 and 80 of the FDIC Report;  Part 205, Regulation E of the Board of Governors of the Federal Reserve System, as more fully described on pages 86-88 of the FDIC Report;  Part 229, Regulation CC of the Board of Governors of the Federal Reserve System, as more fully described on pages 88-90 of the FDIC Report;  Part 345 of the FDIC's Rules and Regulations, as more fully described on pages 62-65 of the FDIC Report;  Part 332 of the FDIC's Rules and Regulations, as more fully described on pages 80-81 of the FDIC Report;  Part 230, Regulation DD of the Board of Governors of the Federal Reserve System, as more fully described on pages 90-91 of the FDIC Report;  Part 343 of the FDIC's Rules and Regulations, as more fully described on pages 82-83 of the FDIC Report;  Part 338 of the FDIC's Rules and Regulations, as more fully described on page 85;  Massachusetts General Laws chapter 255B, section 14, as more fully described on pages 24-25 of the Division's Report; and  The Division's regulation 209 CMR 32.15(5), as more fully described on page 27 of the Division Report.  ",57502,3858,0.0670933184932698
6925,Burlington MA,07/28/2004,TEMPORARY CEASE AND DESIST,"MICHAEL KIM, DBA 123GOLOAN.COM",MORTGAGE BROKER,True,True,MA,", through the Commissioner, has jurisdiction over the licensing and regulation of persons and entities engaged in the business of a mortgage broker in Massachusetts pursuant to Massachusetts General Laws chapter 255E, section 2.  Michael Kim is, and at all relevant times, has been a sole proprietor doing business in the Commonwealth of Massachusetts. Michael Kim is licensed by the Commissioner as a mortgage broker as required by Massachusetts General Laws chapter 255E, section 2. The Commissioner issued Michael Kim's initial license to engage in the business of a mortgage broker at 681 Main Street, Waltham, Massachusetts 02451 on October 5, 2000, according to records maintained on file with the Division.  Through the submission of completed mortgage broker license renewal applications by Michael Kim and the resultant review and approval by the Commissioner, Michael Kim's mortgage broker license, number MB2011, renewed annually between June 2001 and June 2003.  On or about December 15, 2003, the Division received written notification from Michael Kim indicating his intent to relocate the licensed mortgage broker business to 2 Hallmark Gardens, Unit #6, Burlington, Massachusetts 01803. According to the written notification, the relocation was to be effective immediately and completed by January 2, 2004. Enclosed with the written notification was Michael Kim's original mortgage broker license certificate which had previously been renewed by the Commissioner on June 4, 2003 for the period ending May 31, 2004.  On or about January 29, 2004, the Commissioner issued an amended mortgage broker license certificate to Michael Kim which reflected Michael Kim's new licensed location at 2 Hallmark Gardens, Unit #6, Burlington, Massachusetts 01803. The new address appeared above the Commissioner's signature on the lower right quarter of the license certificate. A copy of the amended mortgage broker license certificate is attached as Exhibit A.  Massachusetts General Laws chapter 255E, section 5 states, in part, that, Such license shall not be transferrable or assignable and shall expire annually on June first.  On March 26, 2004, Michael Kim submitted to the Division a License Renewal Application (the Renewal Application) to renew his Massachusetts mortgage broker license, number MB2011, for the period ending May 31, 2005.  On June 1, 2004, Michael Kim's mortgage broker license, number MB2011, was set to expire in accordance with the provisions of Massachusetts General Laws chapter 255E, section 5.  On July 1, 2004, an informal conference, attended by Michael Kim and certain members of the Division's staff, was held at the Division's office located at One South Station, 3  rd  Floor, Boston, Massachusetts 02110. The informal conference was held by the Division to address certain matters which were of significant concern to the Division and which were preventing a determination on the Renewal Application. The Division's concerns originated from a complaint that was filed with the Division against Michael Kim on or about March 13, 2004.  As of the effective date of this TEMPORARY ORDER, the Commissioner had neither approved nor denied the Renewal Application and, therefore, had not issued a mortgage broker license to Michael Kim for the period ending May 31, 2005.  Massachusetts General Laws chapter 30A, section 13 states, in part, that, If a licensee has, in accordance with any law and with agency regulations, made timely and sufficient application for a renewal, his license shall not expire until his application has been finally determined by the agency.  On July 20, 2004, the Division received a written request from a licensed Massachusetts mortgage lender (the Mortgage Lender) in which the Mortgage Lender sought to confirm the status of Michael Kim as a licensed mortgage broker in Massachusetts and to determine the authenticity of an enclosed copy of a mortgage broker license certificate that had been presented to the Mortgage Lender. A copy of the mortgage broker license certificate presented to the Mortgage Lender is attached hereto as Exhibit B (the Presented License).  On July 20, 2004, by a separate letter to the Division [inaccurately dated as of February 13, 2004], the Mortgage Lender informed the Division that the Mortgage Lender's standard business practice is to request that all mortgage brokers and correspondents conducting business with the Mortgage Lender provide proof that such party possesses a current mortgage broker license. The Mortgage Lender further informed the Division by such letter that in response to this request for proof of his current licensing status in Massachusetts, Michael Kim provided the Mortgage Lender with the Presented License.  Prior to July 20, 2004, the Presented License was not contained in the Division's records and files maintained for Michael Kim.  The Presented License contains certain indicia which permits the Commissioner to find with certainty that the Presented License was neither printed nor issued by the Division. These indicia, which are inconsistent with the standard format used by the Division, include, but are not necessarily limited to, the following:  An issuance date listed as May 28, 2004. As indicated in Section 10 of this TEMPORARY ORDER, the Commissioner had neither approved nor denied the Renewal Application and, therefore, had not issued a mortgage broker license to Michael Kim for the period ending May 31, 2005;  The word processing font used to complete the Presented License. The Division's standard practice is to complete all mortgage broker and mortgage lender license certificates using a standard font commonly identified as 'Arial.' The Presented License is completed using an unidentified font which is not the 'Arial' font used by the Division;  The licensed address appearing on the Presented License. As indicated in Section 5 of this TEMPORARY ORDER, the Commissioner issued an amended mortgage broker license certificate on January 29, 2004 to reflect the change in the licensed location maintained by Michael Kim. The updated licensed location appeared on the lower quarter of the license certificate. As of the effective date of this TEMPORARY ORDER, the Commissioner has never issued a mortgage broker license certificate to Michael Kim in which the 2 Hallmark Gardens, Unit #6, Burlington, Massachusetts 01803 location appeared in the space routinely reserved on the license certificate for identifying the licensed location. The Presented License includes the 2 Hallmark Gardens, Unit #6, Burlington, Massachusetts 01803 location in such space routinely reserved on the license certificate for identifying the licensed location;  The expiration date appearing on the Presented License. The Division's standard practice is to include the license expiration date in a larger font size than that used to complete other information on the license certificate. The font size and spacing of the license expiration date appearing on the Presented License suggest that the Presented License was not completed by the Division; and  The signatures of the Commissioner(s) appearing on the Presented License. Thomas J. Curry completed his service to the Division in the capacity of Commissioner on or about December 30, 2003. While any license certificate amended between December 30, 2003 and the end of the relevant licensing period on May 31, 2004 would continue to reflect the signature of former Commissioner Thomas J. Curry, any original mortgage broker license certificate issued for the period ending May 31, 2005 would include the signature of the current Commissioner of Banks, Steven L. Antonakes, exclusively. The Presented License, purported to have been issued by the Commissioner on May 28, 2004 for the period ending May 31, 2005, contains a copy of former Commissioner Thomas J. Curry's signature.  ",15661,7878,0.5030330119404891
6926,Springfield; Holliston; Longmeadow MA,10/22/2004,TEMPORARY CEASE AND DESIST,MULBERRY MORTGAGE COMPANY INC.,MORTGAGE BROKER,True,True,MA,", through the Commissioner, has jurisdiction over the licensing and regulation of persons and entities engaged in the business of a mortgage broker in Massachusetts pursuant to Massachusetts General Laws chapter 255E, section 2.  Mulberry Mortgage is, and at all relevant times, has been a corporation doing business in the Commonwealth of Massachusetts. Mulberry Mortgage is licensed by the Commissioner as a mortgage broker as required by Massachusetts General Laws chapter 255E, section 2. The Commissioner issued Mulberry Mortgage's initial license to engage in the business of a mortgage broker at 101 Mulberry Street, Springfield, Massachusetts 01105 on September 25, 2001, according to records maintained on file with the Division.  Mulberry Mortgage maintains additional licensed locations from which the Corporation conducts its mortgage broker business at 350 Woodland Street, Holliston, Massachusetts 01756 and at 1650 Longmeadow Street, Longmeadow, Massachusetts 01106. In accordance with Massachusetts General Laws chapter 255E, section 5, Mulberry Mortgage has obtained from the Commissioner, and thereafter maintained, mortgage broker license number(s) MB2508 and MB3487, respectively, for such additional locations.  THEODORE C. JARRETT, JR. is, and at all relevant times has been, the President, Treasurer, Secretary, Director, and principal stockholder of Mulberry Mortgage.  According to the Mortgage Broker Annual Report for the Year Ended December 31, 2003 which was submitted to the Division by Mulberry Mortgage on March 5, 2004, MARK L. MCCARTHY has been employed by Mulberry Mortgage, on a part-time basis, since March 1, 2002.  On September 2, 2004, a federal Grand Jury, impaneled in the United States District Court, District of Massachusetts, returned an indictment against ten individuals (the Defendants) charging them with sixty-two counts of wire fraud and one count of conspiracy to launder money arising out of their participation in a multi-million dollar mortgage fraud scheme. The individuals charged in the Grand Jury indictment included THEODORE C. JARRETT, JR. and MARK L. MCCARTHY.  The charges set forth in the Grand Jury indictment allege that the Defendants participated in a scheme of purchasing distressed properties and thereafter rapidly reselling such properties at artificially inflated values, a practice generally referred to as 'land flipping.' The execution of the 'land flipping' scheme was supported, in part, by the origination and processing of false and fraudulent loan applications through various lending institutions to obtain loans for prospective buyers and by the generation of false and fraudulent income information that artificially inflated the true income of prospective buyers.  On September 23, 2004, the United States Attorney's Office issued a Press Release which announced the return of the above indictment and that the ten individuals charged therein had been arrested as of September 23, 2004. (  Ten Individuals Indicted for Participation in Multi-Million Dollar Mortgage Fraud Scheme in Springfield , Press Release, United States Attorney's Office, District of Massachusetts, September 23, 2004.) The Press Release further identified the roles of THEODORE C. JARRET, JR. and MARK L. MCCARTHY in the alleged scheme as having both worked in the mortgage business and having assisted in finding financing for prospective buyers.(See  id.  at 2.)  On September 24, 2004, an article appearing in  The Republican , Springfield [Massachusetts] Edition newspaper described the arrests of the Defendants and the nature of the allegations set forth by the Grand Jury indictment. The newspaper article was observed by a Division examiner and was reported to management personnel of the Division for review by the latter.  The Division's regulation at 209 CMR 42.12(1)(b) states, in part, that:  (1) [A] Licensee shall notify the Commissioner immediately, and in writing within one business day, of the occurrence of any of the following significant developments: . . . (b) [F]iling of a criminal indictment any way related to the mortgage lender or brokerage activities of a Licensee, including but not limited to, the handling and/or reporting of moneys received and/or instruments sold.  As of the effective date of this TEMPORARY ORDER, the Division has not received notification from Mulberry Mortgage of the occurrence of the events referenced above in Sections 6 and 7 of this TEMPORARY ORDER.  ",12405,4471,0.3604191858121725
6927,Waltham MA,12/20/2004,CONSENT ORDER,CORNERSTONE MORTGAGE CORPORATION,"MORTGAGE LENDER,MORTGAGE BROKER",True,True,MA," dated December 20, 2004, whereby, solely for the purpose of settling this matter, and without admitting any allegations or implications of fact or the existence of any violation of state or federal laws and regulations governing the conduct and operation of a mortgage lender and/or a mortgage broker, Cornerstone Mortgage agrees to the issuance of this CONSENT ORDER (ORDER) by the Commissioner of Banks (Commissioner);  WHEREAS, an examination/inspection of Cornerstone Mortgage was conducted pursuant to Massachusetts General Laws chapter 255E, section 8, as of December 17, 2003, to assess the Corporation&apos;s level of compliance with applicable Massachusetts statutes and the Division&apos;s regulations governing the conduct of those engaged in the business of a mortgage lender and a mortgage broker, respectively, in the Commonwealth;  WHEREAS, the Report of Examination/Inspection (the Report) issued pursuant to the Division&apos;s examination/inspection of Cornerstone Mortgage as of December 17, 2003 alleged non-compliance with applicable state and federal statutes, rules, and regulations governing the conduct of those engaged in the business of a mortgage lender and mortgage broker in Massachusetts; and  WHEREAS, the Report further alleged that, during the relevant time period, Cornerstone Mortgage had engaged in the activities of a mortgage lender and mortgage broker from an unlicensed location in Massachusetts in violation of applicable state statutes and regulations pertaining to the licensing of those engaged in the business of a mortgage lender and mortgage broker in Massachusetts.  ",10488,1617,0.1541762013729977
