,Topic Name,Keywords
0,Administrative,"bond, license, require, requirement, maintain, loan, obtain, file, fail, provide"
1,Administrative,"loan, originator, license, safe, requirement, bond, maintain, fail, submit, violation"
2,Mixed,"loan, license, originator, bond, requirement, obtain, fail, maintain, conduct, require"
3,Administrative,"loan, license, originator, require, requirement, bond, file, obtain, submit, provide"
4,Administrative,"loan, originator, license, consumer, conduct, safe, examinationinspection, requirement, write, file"
5,Criminal Activity,"loan, income, borrower, file, review, examinationinspection, originator, maintain, reveal, book"
6,Criminal Activity,"loan, license, originator, bond, fail, requirement, provide, require, safe, obtain"
7,Administrative,"loan, license, maintain, provide, bond, file, consumer, borrower, company, examiner"
8,Administrative,"loan, license, file, require, conduct, submit, bond, provide, requirement, company"
9,Administrative,"license, bond, loan, requirement, require, originator, maintain, obtain, fail, safe"
10,Criminal Activity,"license, bond, file, require, loan, provide, maintain, submit, obtain, financial"
11,Mixed,"loan, borrower, file, review, license, maintain, book, income, reference, consumer"
12,Criminal Activity,"loan, file, license, review, maintain, borrower, consumer, conduct, financial, income"
13,Criminal Activity,"loan, borrower, license, review, originator, file, examiner, income, maintain, form"
14,Administrative,"bond, loan, license, require, fail, provide, obtain, requirement, file, maintain"
